Séquentiel,"Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?",alternatives
2,Sans wikipédia,wikipedia
3,Sur Wikipédia,wikipedia
4,Wikipédia,wikipedia
5,Wikipédia,wikipedia
7,Wikipedia,wikipedia
8,Dicoado.org,dicoado.org
9,Wikipedia,wikipedia
10,Wikipédia,wikipedia
11,Wikipedia et les livres,wikipedia
11,Wikipedia et les livres,livres
12,Wikipédia,wikipedia
13,Sur Wikipédia,wikipedia
14,Je vais sur Wikipédia.,wikipedia
15,"D'autres wikis (wikipédia, wiktionnaire, etc.)",autre
15,"D'autres wikis (wikipédia, wiktionnaire, etc.)",wikipedia
16,wikipedia,wikipedia
18,Wikipédia,wikipedia
19,Google,google
20,Wikipédia,wikipedia
21,"Wikipédia, puis les sources de Wikipédia.",wikipedia
21,"Wikipédia, puis les sources de Wikipédia.",wikipedia
22,Sur Wikipédia,wikipedia
23,Sur Wikipédia,wikipedia
24,Wikipedia,wikipedia
25,Sur wikipédia,wikipedia
26,Wikipedia,wikipedia
27,"sur des sites """"spécialisé"""" (pas exempla, si je cherche une info sur Paris, je vais chercher sur un site """"spécialisé"""" sur Paris), sur Wikimini ou dans le pire des cas sur Wikipédia",wikimini
27,"sur des sites """"spécialisé"""" (pas exempla, si je cherche une info sur Paris, je vais chercher sur un site """"spécialisé"""" sur Paris), sur Wikimini ou dans le pire des cas sur Wikipédia",wikipedia
28,Je regarde si l infos est dites sur d autre site,autre
29,Wikipedia,wikipedia
30,Dans des livres ou je recherche sur internet,livres
30,Dans des livres ou je recherche sur internet,internet
31,Wikipedia,wikipedia
32,Wikipédia ou Google,wikipedia
32,Wikipédia ou Google,google
34,Wikipedia,wikipedia
35,Wikipedia,wikipedia
36,Wikipédia,wikipedia
37,Sur Wikipédia,wikipedia
38,Internet,internet
39,"Wikipédia, documentation en ligne (programmation), recherche Google",wikipedia
39,"Wikipédia, documentation en ligne (programmation), recherche Google",google
40,Wikipédia,wikipedia
41,Mon dictionnaire,dictionnaire
42,wikimini,wikimini
44,Wikipédia,wikipedia
45,Je retourne sur Wikipedia,wikipedia
46,Wikipedia,wikipedia
47,Wikipedia,wikipedia
48,Je cherche simplement au gré de ce que me propose internet,internet
49,"Wikipédia, Dicoado, Wiktionnaire",wikipedia
50,Wikipédia,wikipedia
51,Internet,internet
52,Sur le net,net
54,Wikipedia,wikipedia
55,wikipédia,wikipedia
57,Wikipedia (En anglais),wikipedia
60,Wikipedia,wikipedia
61,Google,google
62,wikipédia,wikipedia
64,Wikipédia,wikipedia
66,Wikipédia,wikipedia
67,Wikipedia,wikipedia
68,Wikipedia,wikipedia
70,Retour sur le moteur de recherche,moteur de recherche
72,Wikipédia,wikipedia
73,Wikipedia,wikipedia
74,"wikipédia, autres encyclopédies",wikipedia
74,"wikipédia, autres encyclopédies",autre
74,"wikipédia, autres encyclopédies",encyclopedie
75,google,google
76,Wikipedia,wikipedia
77,Wikipédia,wikipedia
78,Wikipedia,wikipedia
79,wikipedia,wikipedia
80,Wikipédia ou Treccani,wikipedia
81,sur Google,google
82,wikipedia,wikipedia
83,Wikipédia ou autres sites spécialisés,wikipedia
83,Wikipédia ou autres sites spécialisés,autre
84,Wikipédia,wikipedia
86,wikipédia,wikipedia
87,Wikipédia,wikipedia
88,Wikipédia,wikipedia
89,wikipedia,wikipedia
90,Wikipedia ou autres sites,wikipedia
90,Wikipedia ou autres sites,autre
91,WIKIPEDIA,wikipedia
92,Google,google
93,Wikipedia,wikipedia
94,Google,google
95,Wikipedia,wikipedia
96,wikipedia,wikipedia
97,sur d'autres sites internet ou dans des manuels,autre
97,sur d'autres sites internet ou dans des manuels,internet
98,Wikipedia,wikipedia
99,wikipédia,wikipedia
100,wikipedia,wikipedia
101,Wikipedia,wikipedia
102,Sur google,google
103,Wikipedia,wikipedia
104,Wikimini ou Wikipedia,wikimini
104,Wikimini ou Wikipedia,wikipedia
105,"Sur Wikipédia, généralement.",wikipedia
106,google,google
107,je cherche sur google d'autres sites,google
107,je cherche sur google d'autres sites,autre
108,Google,google
109,A la bibliothèque,bibliotheque
110,Wikipédia,wikipedia
111,"Wikipédia, doctissimo et un peu partout sur internet",wikipedia
111,"Wikipédia, doctissimo et un peu partout sur internet",internet
112,Wikipedia,wikipedia
113,Wikipédia,wikipedia
114,Google,google
115,Wikipedia,wikipedia
116,wikipédia,wikipedia
117,Wikipedia,wikipedia
119,wikipédia,wikipedia
121,Wikipédia et autres,wikipedia
121,Wikipédia et autres,autre
122,Wikipédia,wikipedia
123,Sur d'autre site web en priorite sur Wikipedia,autre
123,Sur d'autre site web en priorite sur Wikipedia,wikipedia
124,"Sur d'autres sites, surtout reconnus",autre
125,Wikipedia mais cela dépend de ma recherche,wikipedia
125,Wikipedia mais cela dépend de ma recherche,ça depend
126,Wikipedia,wikipedia
128,Sur un dictionnaire papier,dictionnaire
129,Je cherche sur google et je trouve,google
130,Wikipedia,wikipedia
133,Wikipédia,wikipedia
135,Wikipédia,wikipedia
136,Wikipedia,wikipedia
137,Wikipédia.,wikipedia
138,"Wikipédia, autres...",wikipedia
138,"Wikipédia, autres...",autre
140,Wikipédia,wikipedia
141,Wikipedia,wikipedia
142,wikipédia,wikipedia
144,Wikipedia ou des sites spécialisés,wikipedia
145,Sur Wikipédia.,wikipedia
146,Sur wikipédia,wikipedia
149,Wikipedia,wikipedia
150,ecosia,ecosia
151,Wikipedia,wikipedia
152,Wikipedia,wikipedia
153,dans les livres d'éducation,livres
154,Sur Wikipedia,wikipedia
156,Wikipedia,wikipedia
158,Wikipedia,wikipedia
159,Sur le net,net
160,Wikipedia,wikipedia
161,Des recherches sur Google,google
162,Wikipédia,wikipedia
