Séquentiel,"Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?",alternatives,Petites catégories,Grandes catégories,Grandes catégories
2,Sans wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
3,Sur Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
4,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
5,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
7,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
8,Dicoado.org,dicoado.org,dicoado,ressources en ligne,ressources numériques
9,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
10,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
11,Wikipedia et les livres,wikipedia,wikipédia,ressources numériques,ressources numériques
11,Wikipedia et les livres,livres,livres,ressources papier,ressources physiques
12,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
13,Sur Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
14,Je vais sur Wikipédia.,wikipedia,wikipédia,ressources numériques,ressources numériques
15,"D'autres wikis (wikipédia, wiktionnaire, etc.)",wikis,wiktionnaire wikipédia,,ressources numériques
16,wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
18,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
19,Google,google,moteur de recherche,ressources en ligne,ressources numériques
20,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
21,"Wikipédia, puis les sources de Wikipédia.",wikipedia,wikipédia,ressources numériques,ressources numériques
22,Sur Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
23,Sur Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
24,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
25,Sur wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
26,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
27,"sur des sites """"spécialisé"""" (pas exempla, si je cherche une info sur Paris, je vais chercher sur un site """"spécialisé"""" sur Paris), sur Wikimini ou dans le pire des cas sur Wikipédia",wikimini,wikimini,ressources en ligne,ressources numériques
28,Je regarde si l infos est dites sur d autre site,autre,autres sites web,ressources en ligne,ressources numériques
29,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
30,Dans des livres ou je recherche sur internet,livres,livres,ressources papier,ressources physiques
30,Dans des livres ou je recherche sur internet,internet,autres sites web,ressources en ligne,ressources numériques
31,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
32,Wikipédia ou Google,wikipedia,wikipédia,ressources numériques,ressources numériques
32,Wikipédia ou Google,google,moteur de recherche,ressources en ligne,ressources numériques
34,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
35,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
36,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
37,Sur Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
38,Internet,internet,autres sites web,ressources en ligne,ressources numériques
39,"Wikipédia, documentation en ligne (programmation), recherche Google",wikipedia,wikipédia,ressources numériques,ressources numériques
39,"Wikipédia, documentation en ligne (programmation), recherche Google",google,moteur de recherche,ressources en ligne,ressources numériques
40,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
41,Mon dictionnaire,dictionnaire,dictionnaire ou encyclopédie,ressources papier,ressources physiques
42,wikimini,wikimini,wikimini,ressources en ligne,ressources numériques
44,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
45,Je retourne sur Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
46,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
47,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
48,Je cherche simplement au gré de ce que me propose internet,internet,moteur de recherche,ressources en ligne,ressources numériques
49,"Wikipédia, Dicoado, Wiktionnaire",wikipedia,wikipédia,ressources numériques,ressources numériques
50,Wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
51,Internet,internet,autres sites web,ressources en ligne,ressources numériques
52,Sur le net,net,autres sites web,ressources en ligne,ressources numériques
54,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
55,wikipédia,wikipedia,wikipédia,ressources numériques,ressources numériques
57,Wikipedia (En anglais),wikipedia,wikipédia,ressources numériques,ressources numériques
60,Wikipedia,wikipedia,wikipédia,ressources numériques,ressources numériques
