Séquentiel,Qu'est ce qui vous a motivé à contribuer pour la première fois ?,is_contrib,motivations_contrib
2,Le fait que vikidia et une plate-forme pratique cela mérité un don,1,accessibilité
3,,1,
4,Les fautes d'orthographe et de typographie,1,corriger
5,"Volonté de faire quelque chose qui me dépasse quand j'avais 12 ans. ça me paraissait fou de pouvoir, moi, créer un article !",1,créer découvrir
6,,1,
7,La correction de fautes,1,corriger
8,Les pages de discussion,1,communauté
9,Un Vikidien demandait l'aide d'un Wikipedien expérimenté et je croyais au potentiel du projet,1,communauté
10,Le désir de m'impliquer dans un projet utile,1,aider
11,Apprendre des choses en contribuant,1,apprendre
12,"L'encyclopédie manque d'articles, plus simple au niveau des critères que WP et volonté de parler de sujet qui me plaisent",1,accessibilité transmettre améliorer
13,"En 2011, lors de mon inscription, j'étais jeune.",1,
14,J'ai voulu créer des articles.,1,améliorer
15,,1,
16,,1,
17,Curiosité,1,curiosité
18,L'envie de m'intégrer à une communauté en ligne,1,communauté
19,Juste par curiosité,0,curiosité
20,,0,
21,Mettre à jour l'infobox sur le système scolaire français qui a été rendu obsolète par la réforme du bac.,1,améliorer
22,Le fait de pouvoir partager ce que je sais sur des sujets qui me passionnent.,1,transmettre
23,D'écrire pour une encyclopédie,1,fiabilité
24,,0,
25,,0,
26,Le manque d'informations,1,améliorer
27,"quand j'ai découvert Vikidia, ma moyennne scolaire était en baisse, j'ai donc décidée d'y contribuer pour tout d'abors améliorer l'encyclopédie et ensuite pour en profiter pour apredre des chose en lisant les article et en les améliorant, parfois sur des sujet que je ne connait pas pour en apprendre encore plus !",1,apprendre améliorer
28,,0,
29,I wanted to fix a style on the main page,1,corriger
30,J'ai aimé cette idée que tout le monde puisse contribuer et je me suis dit que les informations que j'ai a transmettre peuvent se révéler utiles,1,aider accessibilité
31,,0,
32,Le fait que je peut créer des articles sur ce que je veut tant que c'est admissible,1,liberté créer
33,"Simplicité des pages, belle vulgarisation",1,accessibilité
34,,0,
35,vous aider et vous remercier,0,
36,,0,
37,,0,
38,,0,
39,,0,
40,,1,
41,,0,
42,,0,
43,,0,
44,,1,
45,,0,
46,,0,
47,L'article sur les tanks. Lol.,1,fiabilité
48,,0,
49,Je viens de répondre que je ne contribuais pas !,0,
50,,0,
51,,0,
52,,0,
53,,1,
54,,0,
55,la curiosité,0,curiosité
56,,1,
57,,0,
58,,0,
59,,0,
60,La véracité de vos informations,0,
61,,0,
62,,0,
63,l'adoration de la race de chien  Puli et l'envie de la faire connaître.,1,transmettre
64,J'avais envie d'améliorer certains articles qui me paraissaient incomplets.,1,améliorer
65,Je cherche des infos sur emma watson,1,rechercher
66,,0,
67,,0,
68,,0,
69,correction d'une coquille dabs un article,1,corriger
70,Simplicité du projet,1,accessibilité
71,,0,
72,L'ambiance,1,communauté
73,les histoires,1,curiosité
74,,0,
75,c net,1,fiabilité
76,,0,
77,L,0,
78,,0,
79,la culture,1,transmettre
80,La calme relative du projet par rapport à Wikipédia,1,accessibilité
81,,0,
82,,1,
83,,0,
84,,0,
85,,0,
86,,0,
87,,0,
88,Aider les autres.,1,aider
89,Le besoin d'avoir accès à des informations claires et synthétiques sur des sujets complexes et le constat d'un besoin de clarification dans les pages parcourues sur Vikidia. Je vois dans Vikidia un vrai potentiel pour contrebalancer les lacunes du système scolaire actuel en facilitant l'autonomie dans la recherche de compréhension du monde dans lequel nous vivons. J'aurais aimé avoir accès à ce type d'outil quand j'étais plus jeune.,1,aider transmettre améliorer
90,,0,
91,,0,
92,,0,
93,intérêt professionnel,1,intérêt
94,,1,
95,,0,
96,,0,
97,,0,
98,Perché mi piace!,0,
99,,0,
100,,0,
101,,0,
102,La curiosite,0,curiosité
103,Recherche d'informations expliquées plus simplement que sur Wikipedia,0,
104,Car c'était un sujet que beaucoup de personnes se demande mais il n'y a pas vraiment de réponse fiable,1,améliorer
105,,0,
106,,0,
107,,0,
108,,1,
109,,0,
110,,0,
111,La nouveauté,1,découvrir
112,J'ai été invité à prendre part à ce sondage,0,
113,,0,
114,Rien,0,
115,Cherchez un résumé de la 2e révolution industrielle,0,
116,,0,
117,Je rechercher des documents sur l'islam je suis tomber sur vous,0,
118,Interet de Wiquipédia,0,
119,,0,
120,,0,
121,,0,
122,,0,
123,,0,
124,,0,
125,,0,
126,,0,
127,Je n'ai jamais contribué.,0,
128,,0,
129,Une aide pour faire des vidéos Youtube de culture général.,0,
130,Ses informations,0,
131,,0,
132,,1,
133,Je cherchais des infos dirent simplement,0,
134,Rien de particulier...,0,
135,,0,
136,,0,
137,,1,
138,La volonté de corriger les mises en page de plus jeunes que moi,1,corriger
139,Ad vitam aé ternam,1,
140,,0,
141,L'ajout de nouveau contenu et l'amélioration des prestations,0,
142,,0,
143,La connaissance,1,fiabilité
144,,0,
145,,0,
146,Je ne sais pas,0,
147,l'école,1,scolarité
148,,0,
149,,1,
150,,0,
151,L'envie de partager,1,envie transmettre
152,,0,
153,,0,
154,éducation recommandation,1,recommandation
155,,0,
156,,0,
157,,0,
158,Je n'ai jamais contribué,0,
159,,0,
160,,0,
161,,0,
162,,1,
163,,0,
164,,0,
165,,0,
166,C'est simple et efficace.,1,accessibilité
167,j'arrive toujours à trouver les réponses au niveau des recherches que j'effectue régulièrement,1,fiabilité
168,,0,
169,,1,
170,je ne contribue pas,0,
171,,0,
172,,0,
173,,0,
174,,1,
175,Rien de spécial,1,
176,,0,
177,L'inspiration m'a motivé à contribuer pour la première fois.,1,inspiration
178,,0,
179,,0,
180,,0,
181,,0,
182,les loisirs et les article,1,envie découvrir
183,,0,
184,,0,
185,,0,
186,,0,
187,,0,
188,,0,
189,aucune raison articuliére,1,
190,,1,
191,,0,
192,,0,
193,j'aime beaucoup ce comminaute.,0,communauté
194,Fautes de français,0,
195,,0,
196,,0,
197,,0,
198,"l'énorme potentiel d'articles à faire, en 2007",1,améliorer
199,,0,
200,Par curiosité,0,
201,,0,
202,rien ne ma motiver je suis bloquer je demande mon debloquage,0,
203,sans doute l'envie.,0,
204,Je ne sais pas.,1,
205,,0,
206,,0,
207,,0,
208,Je trouvais intéressant de faire partager des connaissances à d'autres internautes,1,transmettre
209,La curiosité,0,curiosité
210,,0,
211,Mon père n’a pas d’article sur lui alors qu’il est un peu connu.,0,
212,,0,
213,,1,
214,,0,
215,,0,
216,,0,
217,Recherche des superficies des pays du monde,0,
218,,0,
219,La gloire,1,intérêt
220,,0,
221,Le cours des évènements,0,
222,,0,
223,,0,
224,Il n'y avait pas un thème qui me tient à coeur,1,améliorer
225,,0,
226,Pour vous aider,0,
227,,0,
228,,1,
229,Pour avoir été confronté au questionnaire avant de recevoir mes explications,0,
230,,0,
231,,0,
232,"Donner un but, une finalité à des apprentissages",0,
233,,0,
234,,0,
235,,1,
236,J'adore,1,envie
237,,0,
238,,0,
239,,0,
240,pour avoir de nouvelles information .,0,
241,La communaute,1,communauté
242,,0,
243,,0,
244,Rien,0,
245,,0,
246,,0,
247,Me familiariser pour tomber sur une opportunité pour mon fils,0,
248,,0,
249,,1,
250,,0,
251,,0,
252,,0,
253,L'envie d'essayer,1,découvrir envie
254,Une coquille ou l'absence d'un article,1,corriger améliorer
255,,0,
256,,0,
257,,0,
258,Miraculous,1,
259,,0,
260,,0,
261,Je trouvais qu'i n'y avait pas assez d'informations sur un résumé d'un livre,1,améliorer
262,,0,
263,Culture Générale,0,
264,,0,
265,,0,
266,Encyclopedie,0,
